group,frame_id,file,conf,brightness,blur,n_missed
A,ALLFISHDATA/Primary camera/DCIM/102GOPRO/GOPR2350.JPG,A_ALLFISHDATA__Primary_camera__DCIM__102GOPRO__GOPR2350.JPG.jpg,0.939,12.0,60.4,0
A,ALLFISHDATA/Primary camera/DCIM/105GOPRO/GOPR5642.JPG,A_ALLFISHDATA__Primary_camera__DCIM__105GOPRO__GOPR5642.JPG.jpg,0.877,57.0,33.9,0
A,ALLFISHDATA/Predator camera/DCIM/103GOPRO/GOPR1454.JPG,A_ALLFISHDATA__Predator_camera__DCIM__103GOPRO__GOPR1454.JPG.jpg,0.875,101.2,72.0,0
A,ALLFISHDATA/Primary camera/DCIM/107GOPRO/GOPR7626.JPG,A_ALLFISHDATA__Primary_camera__DCIM__107GOPRO__GOPR7626.JPG.jpg,0.841,116.1,66.9,0
A,ALLFISHDATA/Predator camera/DCIM/106GOPRO/GOPR4461.JPG,A_ALLFISHDATA__Predator_camera__DCIM__106GOPRO__GOPR4461.JPG.jpg,0.840,85.5,2537.4,0
A,ALLFISHDATA/Primary camera/DCIM/102GOPRO/GOPR2841.JPG,A_ALLFISHDATA__Primary_camera__DCIM__102GOPRO__GOPR2841.JPG.jpg,0.834,110.6,1882.5,0
A,ALLFISHDATA/Primary camera/DCIM/103GOPRO/GOPR3859.JPG,A_ALLFISHDATA__Primary_camera__DCIM__103GOPRO__GOPR3859.JPG.jpg,0.802,120.8,37.7,0
A,ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0799.JPG,A_ALLFISHDATA__Primary_camera__DCIM__100GOPRO__GOPR0799.JPG.jpg,0.791,76.0,95.3,0
A,ALLFISHDATA/Primary camera/DCIM/102GOPRO/GOPR2332.JPG,A_ALLFISHDATA__Primary_camera__DCIM__102GOPRO__GOPR2332.JPG.jpg,0.777,66.7,70.3,0
A,ALLFISHDATA/Primary camera/DCIM/103GOPRO/GOPR3203.JPG,A_ALLFISHDATA__Primary_camera__DCIM__103GOPRO__GOPR3203.JPG.jpg,0.777,63.3,51.4,0
A,ALLFISHDATA/Predator camera/DCIM/100GOPRO/GOPR8391.JPG,A_ALLFISHDATA__Predator_camera__DCIM__100GOPRO__GOPR8391.JPG.jpg,0.773,63.2,143.6,0
A,ALLFISHDATA/Predator camera/DCIM/105GOPRO/GOPR3992.JPG,A_ALLFISHDATA__Predator_camera__DCIM__105GOPRO__GOPR3992.JPG.jpg,0.768,119.0,167.4,0
A,ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0170.JPG,A_ALLFISHDATA__Primary_camera__DCIM__100GOPRO__GOPR0170.JPG.jpg,0.753,120.8,38.2,0
A,ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9335.JPG,A_ALLFISHDATA__Predator_camera__DCIM__101GOPRO__GOPR9335.JPG.jpg,0.731,114.7,68.8,0
A,ALLFISHDATA/Primary camera/DCIM/105GOPRO/GOPR6160.JPG,A_ALLFISHDATA__Primary_camera__DCIM__105GOPRO__GOPR6160.JPG.jpg,0.726,117.1,84.5,0
B,ALLFISHDATA/Predator camera/DCIM/101GOPRO/GOPR9348.JPG,B_ALLFISHDATA__Predator_camera__DCIM__101GOPRO__GOPR9348.JPG.jpg,0.000,112.6,67.2,2
B,ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1801.JPG,B_ALLFISHDATA__Primary_camera__DCIM__101GOPRO__GOPR1801.JPG.jpg,0.190,114.1,53.7,1
B,ALLFISHDATA/Primary camera/DCIM/104GOPROSOURCE/GOPR5012.JPG,B_ALLFISHDATA__Primary_camera__DCIM__104GOPROSOURCE__GOPR5012.JPG.jpg,0.168,111.2,53.9,7
B,ALLFISHDATA/Primary camera/DCIM/104GOPROSOURCE/GOPR5033.JPG,B_ALLFISHDATA__Primary_camera__DCIM__104GOPROSOURCE__GOPR5033.JPG.jpg,0.795,114.5,68.5,40
