frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box
120GOPRO/GOPR7006.JPG,120GOPRO,GOPR7006.JPG,120GOPRO,120GOPRO,58.8,68.4,mid,low,0.000,none,0,0.000000,no
120GOPRO/GOPR7083.JPG,120GOPRO,GOPR7083.JPG,120GOPRO,120GOPRO,77.7,64.4,high,low,0.708,high,2,0.419737,yes
120GOPRO/GOPR7147.JPG,120GOPRO,GOPR7147.JPG,120GOPRO,120GOPRO,74.7,48.4,high,low,0.376,mid,1,0.000918,no
120GOPRO/GOPR7174.JPG,120GOPRO,GOPR7174.JPG,120GOPRO,120GOPRO,83.1,41.3,high,low,0.218,low,1,0.000780,no
120GOPRO/GOPR7196.JPG,120GOPRO,GOPR7196.JPG,120GOPRO,120GOPRO,123.2,38.2,high,low,0.000,none,0,0.000000,no
120GOPRO/GOPR7257.JPG,120GOPRO,GOPR7257.JPG,120GOPRO,120GOPRO,62.9,17.9,mid,low,0.101,low,1,0.053964,no
120GOPRO/GOPR7290.JPG,120GOPRO,GOPR7290.JPG,120GOPRO,120GOPRO,46.8,12.1,mid,low,0.478,mid,1,0.005914,no
120GOPRO/GOPR7318.JPG,120GOPRO,GOPR7318.JPG,120GOPRO,120GOPRO,32.5,7.7,low,low,0.133,low,1,0.005076,no
120GOPRO/GOPR7363.JPG,120GOPRO,GOPR7363.JPG,120GOPRO,120GOPRO,9.9,2.9,low,low,0.000,none,0,0.000000,no
120GOPRO/GOPR7373.JPG,120GOPRO,GOPR7373.JPG,120GOPRO,120GOPRO,8.9,2.8,low,low,0.372,mid,1,0.091997,no
120GOPRO/GOPR7551.JPG,120GOPRO,GOPR7551.JPG,120GOPRO,120GOPRO,67.9,101.0,high,mid,0.461,mid,1,0.001740,no
120GOPRO/GOPR7615.JPG,120GOPRO,GOPR7615.JPG,120GOPRO,120GOPRO,54.0,112.4,mid,high,0.636,high,3,0.002798,no
120GOPRO/GOPR7657.JPG,120GOPRO,GOPR7657.JPG,120GOPRO,120GOPRO,49.5,113.4,mid,high,0.000,none,0,0.000000,no
120GOPRO/GOPR7740.JPG,120GOPRO,GOPR7740.JPG,120GOPRO,120GOPRO,68.7,104.8,high,mid,0.000,none,0,0.000000,no
120GOPRO/GOPR7864.JPG,120GOPRO,GOPR7864.JPG,120GOPRO,120GOPRO,43.0,112.9,low,high,0.755,high,3,0.306567,yes
