frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box,stratum
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0207.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0207.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,77.0,132.4,high,high,0.145,low,1,0.002853,no,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0236.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0236.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,71.0,132.5,high,high,0.703,high,2,0.007905,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0244.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0244.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,53.2,132.4,mid,high,0.541,high,1,0.006292,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0326.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0326.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,88.8,129.6,high,high,0.854,high,1,0.014329,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0420.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0420.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,63.9,131.9,high,high,0.636,high,1,0.009127,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0421.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0421.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,56.3,132.4,mid,high,0.753,high,2,0.009095,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0437.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0437.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,47.2,128.3,low,high,0.782,high,1,0.009660,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0461.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0461.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,47.1,122.9,low,high,0.210,low,1,0.010145,no,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0464.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0464.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,48.2,124.6,low,high,0.572,high,1,0.001695,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0616.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0616.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,60.5,96.1,mid,mid,0.112,low,1,0.018478,no,faint
